TimeStamp,PlayerButtonSeries,RelativeDistance,Dist_from_Top,Dist_from_Bottom,Dist_from_Left,Dist_from_Right,PlayerHP,PlayerStamina
124.332,1,465.732,602.071,597.929,1081.95,118.049,100.0,100.0
124.37,1,443.755,600.969,599.031,1058.35,141.648,100.0,100.0
124.403,1,425.226,601.016,598.984,1038.67,161.329,100.0,100.0
124.443,1,402.993,600.434,599.566,1014.65,185.349,100.0,100.0
124.479,1,383.589,598.611,601.389,992.94,207.06,100.0,100.0
124.517,1,364.798,594.817,605.183,970.7,229.3,100.0,100.0
124.556,1,346.818,588.771,611.229,947.706,252.294,100.0,100.0
124.595,1,331.421,581.133,618.867,925.925,274.075,100.0,100.0
124.63,1,318.983,573.076,626.924,906.292,293.708,100.0,100.0
124.67,1,307.49,562.741,637.259,884.928,315.072,100.0,100.0
124.706,1,299.148,552.457,647.543,865.862,334.138,100.0,100.0
124.746,1,292.201,540.383,659.617,845.03,354.97,100.0,100.0
124.79,1,287.081,526.898,673.102,822.453,377.547,100.0,100.0
124.832,1,284.021,514.15,685.85,800.442,399.558,100.0,100.0
124.876,1,279.475,504.425,695.575,776.158,423.842,100.0,100.0
124.918,1,272.107,500.084,699.916,751.125,448.875,100.0,100.0
124.961,1,262.761,499.912,700.088,725.293,474.707,100.0,100.0
125.034,1,240.593,511.794,688.206,683.555,516.445,100.0,100.0
125.073,1,225.857,523.763,676.237,663.488,536.512,100.0,100.0
125.113,1,209.691,538.74,661.26,644.69,555.31,100.0,100.0
125.168,1,187.406,561.877,638.123,621.361,578.639,100.0,100.0
125.216,0,182.837,567.033,632.967,616.452,583.548,100.0,100.0
125.255,0,182.837,567.033,632.967,616.452,583.548,100.0,100.0
125.295,0,182.837,567.033,632.967,616.452,583.548,100.0,100.0
125.362,202,182.837,567.033,632.967,616.452,583.548,100.0,100.0
125.45,202,182.837,567.033,632.967,616.452,583.548,100.0,100.0
125.531,202,137.962,625.014,574.986,578.022,621.978,100.0,100.0
125.581,202,121.103,669.194,530.806,548.163,651.837,100.0,100.0
125.631,202,120.571,670.262,529.738,547.948,652.052,100.0,100.0
125.673,202,120.313,670.517,529.483,548.069,651.931,100.0,100.0
125.698,202,120.301,670.589,529.411,548.024,651.976,100.0,100.0
125.745,202,120.635,670.782,529.218,547.424,652.576,100.0,100.0
125.798,0,120.764,670.839,529.161,547.208,652.792,100.0,100.0
125.858,0,122.647,671.174,528.826,544.493,655.507,100.0,100.0
125.897,0,122.703,671.169,528.831,544.425,655.575,100.0,100.0
125.972,202,124.898,670.504,529.496,542.143,657.857,100.0,100.0
126.023,202,124.898,670.504,529.496,542.143,657.857,100.0,100.0
