TimeStamp,PlayerForwardRadian,PlayerVelocity,PlayerRelativeDirectionRadian,RelativeDistance,Dist_from_Top,Dist_from_Bottom,Dist_from_Left,Dist_from_Right,PlayerHP,PlayerStamina
122.388,-1.54069,600.0,-1.42867,440.534,169.747,1030.25,621.017,578.983,100.0,100.0
122.429,-1.54069,600.0,-1.42403,416.349,193.966,1006.03,622.529,577.471,100.0,100.0
122.487,-1.54069,600.0,-1.41519,381.848,228.605,971.395,624.238,575.762,100.0,100.0
122.544,-1.54069,600.0,-1.40375,347.748,262.932,937.068,625.596,574.404,100.0,100.0
122.603,-1.54069,600.0,-1.38888,312.85,298.151,901.849,626.818,573.182,100.0,100.0
122.67,-1.54069,600.0,-1.3669,273.125,338.373,861.627,628.112,571.888,100.0,100.0
122.74,-1.55291,600.0,-1.33447,231.677,380.602,819.398,629.175,570.825,100.0,100.0
122.806,-1.55291,85.734,-1.32328,220.274,392.278,807.722,629.451,570.549,100.0,100.0
122.859,-1.55291,0.0,-1.32328,220.274,392.278,807.722,629.451,570.549,100.0,100.0
122.907,-1.55291,0.0,-1.32328,220.274,392.278,807.722,629.451,570.549,100.0,100.0
122.952,-1.61705,92.0981,-1.31774,216.313,396.415,803.585,629.259,570.741,100.0,100.0
123.004,-1.61705,198.466,-1.30507,207.8,405.332,794.668,628.847,571.153,100.0,100.0
123.061,-1.61705,315.144,-1.27907,192.359,421.607,778.393,628.093,571.907,100.0,100.0
123.112,-1.61705,32.1353,-1.27153,188.327,425.883,774.117,627.895,572.105,100.0,100.0
123.189,-1.27153,0.0,-1.27153,188.327,425.883,774.117,627.895,572.105,100.0,100.0
123.25,-1.27153,0.0,-1.27153,188.327,425.883,774.117,627.895,572.105,100.0,100.0
123.324,-1.27153,0.0,-1.27153,188.327,425.883,774.117,627.895,572.105,100.0,100.0
123.402,-1.27153,0.0,-1.27153,188.327,425.883,774.117,627.895,572.105,100.0,95.0
123.469,-1.27153,0.0,-1.27153,188.327,425.883,774.117,627.895,572.105,100.0,95.0
123.51,-1.27153,1048.17,-1.27775,145.356,466.68,733.32,641.429,558.571,100.0,95.0
123.539,-1.27775,673.042,-1.28231,122.587,488.318,711.682,648.541,551.459,100.0,95.0
